post_number,message_id,timestamp,board,topic_title,topic_id,replied_to,content,content_length,post_url,author
41,39291029,"June 03, 2018, 03:25:37 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Shurko-1987 on June 03, 2018, 11:14:12 AM",Я просто пампю её. У меня еще где-то 800'000 BTC в загашнике осталось на эти нужды.,83,https://bitcointalk.org/index.php?topic=1298661.msg39291029#msg39291029,Come-from-Beyond
42,39261557,"June 03, 2018, 08:03:59 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: siberianman on June 03, 2018, 04:07:17 AM","Вероятно тут постят люди из нескольких альтернативных вселенных. Типа как в ""Черновике"".",88,https://bitcointalk.org/index.php?topic=1298661.msg39261557#msg39261557,Come-from-Beyond
43,39237059,"June 02, 2018, 08:19:57 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 02, 2018, 08:10:42 PM","У меня есть головной моск, спинной моск и ещё вот этот -
http://infomaxx.ru/perevodika/uchenyie-nashli-v-zhivote-u-lyudey-eshhe-odin-moshhnyiy-i-zagadochnyiy-mozg.html
.",169,https://bitcointalk.org/index.php?topic=1298661.msg39237059#msg39237059,Come-from-Beyond
44,39208041,"June 02, 2018, 11:58:46 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 02, 2018, 11:10:43 AM","Но рынку-то нужно именно это, иначе почему IOTA на 9-ой позиции хит-парада, а Byteball - на 121-ой?",99,https://bitcointalk.org/index.php?topic=1298661.msg39208041#msg39208041,Come-from-Beyond
45,39179635,"June 02, 2018, 12:11:56 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 01, 2018, 03:24:40 PM","Я не Тонич, я просто программист, специализирующийся на компьютерных играх.",75,https://bitcointalk.org/index.php?topic=1298661.msg39179635#msg39179635,Come-from-Beyond
46,39005157,"May 30, 2018, 10:31:15 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on May 30, 2018, 04:44:47 PM",Я. Хочешь про это поговорить?,29,https://bitcointalk.org/index.php?topic=1298661.msg39005157#msg39005157,Come-from-Beyond
47,38897546,"May 29, 2018, 06:19:20 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 29, 2018, 06:16:05 PM",А нелюбители риска могут посидеть в уголке и посмотреть как мы пьем шампанское.,79,https://bitcointalk.org/index.php?topic=1298661.msg38897546#msg38897546,Come-from-Beyond
48,37114898,"May 13, 2018, 09:09:36 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 13, 2018, 06:54:38 AM",На каком слоге ударение?,24,https://bitcointalk.org/index.php?topic=1298661.msg37114898#msg37114898,Come-from-Beyond
49,37070710,"May 12, 2018, 04:30:16 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on May 12, 2018, 12:08:12 PM","Хорошо что браузер переводит, а то я кроме ""Я не ел шесть дней"" на французском ничего не знаю...",96,https://bitcointalk.org/index.php?topic=1298661.msg37070710#msg37070710,Come-from-Beyond
50,36772550,"May 09, 2018, 12:05:31 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 11:30:08 AM","Вини бюрократов в правительстве. За которое ты, вероятно, голосовал.",68,https://bitcointalk.org/index.php?topic=1298661.msg36772550#msg36772550,Come-from-Beyond
51,36772392,"May 09, 2018, 12:03:33 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 11:30:08 AM","В газетах может и не писали, а вот зимой было что-то на специализированных сайтах.",82,https://bitcointalk.org/index.php?topic=1298661.msg36772392#msg36772392,Come-from-Beyond
52,36767017,"May 09, 2018, 10:44:39 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 09:44:11 AM","Я не отслеживаю даты, извини.",29,https://bitcointalk.org/index.php?topic=1298661.msg36767017#msg36767017,Come-from-Beyond
53,36756181,"May 09, 2018, 08:13:42 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 07:37:13 AM","Вот промо-ролик того, как всё будет -
https://www.youtube.com/watch?v=0N9HWwoiyyQ
.",83,https://bitcointalk.org/index.php?topic=1298661.msg36756181#msg36756181,Come-from-Beyond
54,36752480,"May 09, 2018, 07:26:32 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 06:17:04 AM","У финальной Ёты, не текущей.",28,https://bitcointalk.org/index.php?topic=1298661.msg36752480#msg36752480,Come-from-Beyond
55,36713312,"May 08, 2018, 07:49:55 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 05:53:08 PM","С ними никак не поборешься, Ёта децентрализованная и тот, у кого больше хэш-мощности - решает.",94,https://bitcointalk.org/index.php?topic=1298661.msg36713312#msg36713312,Come-from-Beyond
56,36692723,"May 08, 2018, 03:32:56 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 03:05:03 PM",M-баг был разъяснен в статьях советских газет. Поэтому блог-пост уже не нужен.,78,https://bitcointalk.org/index.php?topic=1298661.msg36692723#msg36692723,Come-from-Beyond
57,36671641,"May 08, 2018, 11:21:04 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 11:15:57 AM","Про это писали те самые ребята из Zcash и MIT DCI команды. Надеюсь, ты не будешь утверждать, что они про это не писали? Потому как в это никто не поверит, их неприязнь к Ёте всем известна, они бы никогда не упустили шанс. Так что искать ссылки я не буду, простых логических рассуждений достаточно.",297,https://bitcointalk.org/index.php?topic=1298661.msg36671641#msg36671641,Come-from-Beyond
58,36665540,"May 08, 2018, 09:59:41 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Не было нужды в блог-посте, всё была написано в газетах. Ежели кто следует совету профессора Преображенского - это их личная проблема. И вина.",142,https://bitcointalk.org/index.php?topic=1298661.msg36665540#msg36665540,Come-from-Beyond
59,36516716,"May 06, 2018, 07:59:39 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on May 06, 2018, 02:15:27 PM",Перспекта я не вижу.,20,https://bitcointalk.org/index.php?topic=1298661.msg36516716#msg36516716,Come-from-Beyond
60,36415399,"May 05, 2018, 08:22:09 PM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 04:21:09 PM","So no the proof, was sure in that.",34,https://bitcointalk.org/index.php?topic=2000113.msg36415399#msg36415399,Come-from-Beyond
61,36364907,"May 05, 2018, 09:24:03 AM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 08:28:09 AM",Prove,5,https://bitcointalk.org/index.php?topic=2000113.msg36364907#msg36364907,Come-from-Beyond
62,36356343,"May 05, 2018, 07:19:50 AM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 05:59:25 AM",You never owned iotas. NEM zealot buying iotas? Noone will believe in that.,75,https://bitcointalk.org/index.php?topic=2000113.msg36356343#msg36356343,Come-from-Beyond
63,36326744,"May 04, 2018, 07:31:18 PM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 04, 2018, 06:09:30 PM",You forgot to add that you are an IOTA hater who was caught on lies. This time it's not different.,98,https://bitcointalk.org/index.php?topic=2000113.msg36326744#msg36326744,Come-from-Beyond
64,36209566,"May 03, 2018, 02:25:16 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Халтуришь, где перевод на русский?",34,https://bitcointalk.org/index.php?topic=1298661.msg36209566#msg36209566,Come-from-Beyond
65,35855578,"April 29, 2018, 09:08:39 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 29, 2018, 05:16:09 AM","Да. Именно так.
PS: А чего это Крипт-лежебока опять отлынивает? Почему не освещает драму, связанную с
https://twitter.com/paddyucl/status/989947731870445568?",157,https://bitcointalk.org/index.php?topic=1298661.msg35855578#msg35855578,Come-from-Beyond
66,35789389,"April 28, 2018, 11:42:34 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 28, 2018, 10:04:02 AM",Видел бы ты чем эту последнюю ёту зажимают...,45,https://bitcointalk.org/index.php?topic=1298661.msg35789389#msg35789389,Come-from-Beyond
67,35773658,"April 28, 2018, 07:19:55 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on April 28, 2018, 06:50:33 AM","Ага. И будем надеяться, что он не последует за Немцовым.",56,https://bitcointalk.org/index.php?topic=1298661.msg35773658#msg35773658,Come-from-Beyond
68,35743076,"April 27, 2018, 07:04:18 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: BVeyron on April 27, 2018, 11:25:51 AM","Это настоящая машина. Просто для карликов, типа Тириона из Игры Престолов.",74,https://bitcointalk.org/index.php?topic=1298661.msg35743076#msg35743076,Come-from-Beyond
69,35666605,"April 26, 2018, 07:36:08 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 26, 2018, 12:17:54 PM","Одну ёту мы действительно не отдадим, эта музыка будет вечной.",62,https://bitcointalk.org/index.php?topic=1298661.msg35666605#msg35666605,Come-from-Beyond
70,35500931,"April 24, 2018, 07:11:26 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on April 24, 2018, 03:28:23 PM",Зачётная страшилка.,19,https://bitcointalk.org/index.php?topic=1298661.msg35500931#msg35500931,Come-from-Beyond
71,35347389,"April 22, 2018, 08:53:21 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: remol on April 22, 2018, 08:20:23 PM",IOTA aims for top 1.,20,https://bitcointalk.org/index.php?topic=1216479.msg35347389#msg35347389,Come-from-Beyond
72,35347265,"April 22, 2018, 08:51:10 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on April 22, 2018, 03:29:48 PM",Так вот на кого срабатывает камера на моей калитке...,53,https://bitcointalk.org/index.php?topic=1298661.msg35347265#msg35347265,Come-from-Beyond
73,35200513,"April 20, 2018, 09:12:51 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Lannakosa on April 20, 2018, 07:15:55 PM",Ты это про Сирию и третью мировую? Тогда заменой будут крышки.,62,https://bitcointalk.org/index.php?topic=1298661.msg35200513#msg35200513,Come-from-Beyond
